director_ids,director_names,movie_id,title,review_count_user,review_count_critic,metascore,rating_value,rating_count,release_date,runtime,movie_year,opening_weekend_value,gross_value,budget_value,color_Black_and_White,color_Color,language_Arabic,language_Dutch,language_English,language_French,language_German,language_Greek,language_Hindi,language_Italian,language_Japanese,language_Mandarin,language_Other,language_Portuguese,language_Russian,language_Spanish,language_Swedish,language_Turkish,genre_Action,genre_Adult,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film_Noir,genre_Game_Show,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_None,genre_Reality_TV,genre_Romance,genre_Sci_Fi,genre_Short,genre_Sport,genre_Talk_Show,genre_Thriller,genre_War,genre_Western,title_category_TV,title_category_movie,title_category_video,title_subcategory_TV_episode,title_subcategory_TV_miniseries,title_subcategory_TV_movie,title_subcategory_TV_series,title_subcategory_TV_short,title_subcategory_movie,title_subcategory_video,birthYear,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,clean_director_names,FirstName,Gender,CareerStartYear,Career_Year_Number,Film,Ceremony,Name,Award_Actor,Award_Actor in a Leading Role,Award_Actor in a Supporting Role,Award_Actress,Award_Actress in a Leading Role,Award_Actress in a Supporting Role,Award_Assistant Director,Award_Directing,Award_Directing (Comedy Picture),Award_Directing (Dramatic Picture),Winner_Actor,Winner_Actor in a Leading Role,Winner_Actor in a Supporting Role,Winner_Actress,Winner_Actress in a Leading Role,Winner_Actress in a Supporting Role,Winner_Assistant Director,Winner_Directing,Winner_Directing (Comedy Picture),Winner_Directing (Dramatic Picture),awards_nominated,awards_won
nm1103162,Tim Story,tt2239832,Gondolkozz pasiaggyal! 2. (2014) - IMDb,37,52,38,5.7,15779, 20 June 2014 (USA)    See more »,106.0,2014,32158613.429296363,71683707.45044808,26393853.749952003,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1970,0,1,0,4,5.75,tim story,tim,Male,1997,18,Gondolkozz pasiaggyal! 2.,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0000149,Jodie Foster,tt2241351,Money Monster (2016) - IMDb,148,303,55,6.6,52764, 3 June 2016 (Romania)    See more »,98.0,2016,15264335.6554,42329006.7304,27869400.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1962,0,1,0,4,7.48,jodie foster,jodie,Male,1983,34,Money Monster,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm2320658,Don Hall,tt2245084,Hős6os (2014) - IMDb,441,389,74,7.9,292369, 8 January 2015 (Hungary)    See more »,102.0,2014,61823081.36206398,244679504.38731614,181457744.53092003,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1969,0,0,1,4,7.58,don hall,don,Male,2011,4,Hős6os,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0930261,Chris Williams,tt2245084,Hős6os (2014) - IMDb,441,389,74,7.9,292369, 8 January 2015 (Hungary)    See more »,102.0,2014,61823081.36206398,244679504.38731614,181457744.53092003,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1968,0,0,1,8,7.7,chris williams,chris,Male,2008,7,Hős6os,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0141961,Thomas Carter,tt2247476,Csapatjáték (2014) - IMDb,65,51,41,6.7,13003, 22 August 2014 (USA)    See more »,115.0,2014,9217513.44791277,33133043.716915216,16496158.593720002,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1953,1,0,0,8,6.7,thomas carter,thomas,Male,1978,37,Csapatjáték,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm1625338,Dinesh D'Souza,tt2247692,2016: Obama's America (2012) - IMDb,200,29,28,5.1,9336, 24 August 2012 (USA)    See more »,87.0,2012,37037.679520837984,39076391.1135176,2929269.1807053136,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1961,0,1,0,3,5.4,dinesh d'souza,dinesh,Male,2012,1,2016: Obama's America,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0950775,Jennifer Yuh Nelson,tt2267968,Kung Fu Panda 3 (2016) - IMDb,155,216,66,7.2,76069, 29 January 2016 (USA)    See more »,95.0,2016,42611323.7524,148144918.5086,149669000.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1972,0,0,1,3,7.67,jennifer yuh nelson,jennifer,Female,1997,20,Kung Fu Panda 3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0000399,David Fincher,tt2267998,Gone Girl (2014) - IMDb,1141,573,79,8.1,593623, 8 October 2014 (France)    See more »,149.0,2014,41254813.02716701,184465979.61309516,67084378.281128004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1962,1,0,0,4,8.02,david fincher,david,Male,1985,30,Gone Girl,87.0,Rosamund Pike,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nm0887635,Kees Van Oostrum,tt2275471,A Perfect Man (2013) - IMDb,5,7,31,5.2,1496, 31 October 2013 (Hong Kong)    See more »,95.0,2013,440.44039609132403,440.44039609132403,5675778.300145929,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1953,0,0,1,8,6.45,kees van oostrum,kees,Male,1983,31,A Perfect Man,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nm0004056,Andrew Stanton,tt2277860,Leitin að Dóru (2016) - IMDb,285,496,77,7.6,98963, 16 June 2016 (Iceland)    See more »,97.0,2016,139409213.7906,501843766.6034,206440000.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1965,0,0,0,4,7.85,andrew stanton,andrew,Male,1987,30,Leitin að Dóru,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
