director_ids,director_names,movie_id,title,review_count_user,review_count_critic,metascore,rating_value,rating_count,release_date,runtime,movie_year,Opening_Weekend_inflation,Budget_value_inflation,gross_value_inflation,color_Black_and_White,color_Color,language_Arabic,language_Dutch,language_English,language_French,language_German,language_Greek,language_Hindi,language_Italian,language_Japanese,language_Mandarin,language_Other,language_Portuguese,language_Russian,language_Spanish,language_Swedish,language_Turkish,genre_Action,genre_Adult,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film_Noir,genre_Game_Show,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_None,genre_Reality_TV,genre_Romance,genre_Sci_Fi,genre_Short,genre_Sport,genre_Talk_Show,genre_Thriller,genre_War,genre_Western,title_category_TV,title_category_movie,title_category_video,title_subcategory_TV_episode,title_subcategory_TV_miniseries,title_subcategory_TV_movie,title_subcategory_TV_series,title_subcategory_TV_short,title_subcategory_movie,title_subcategory_video,birthYear,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,Gender,Film,Ceremony,Name,Award_Actor,Award_Actor in a Leading Role,Award_Actor in a Supporting Role,Award_Actress,Award_Actress in a Leading Role,Award_Actress in a Supporting Role,Award_Assistant Director,Award_Directing,Award_Directing (Comedy Picture),Award_Directing (Dramatic Picture),Winner_Actor,Winner_Actor in a Leading Role,Winner_Actor in a Supporting Role,Winner_Actress,Winner_Actress in a Leading Role,Winner_Actress in a Supporting Role,Winner_Assistant Director,Winner_Directing,Winner_Directing (Comedy Picture),Winner_Directing (Dramatic Picture)
nm2588606,Steve McQueen,tt2024544,12 Years a Slave (2013) - IMDb,703,601,96,8.1,455458, 10 January 2014 (Ireland)    See more »,134,2013,1070838.852,23185481.49,65693592.54,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1969,1,0,0,6,7.67,Male,12 Years a Slave,86,Michael Fassbender,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0318916,Craig Gillespie,tt2025690,И грянул шторм (2016) - IMDb,141,186,58,6.8,35615, 4 February 2016 (Russia)    See more »,117,2016,10915527.96,84872000,29228574.76,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1967,1,0,0,3,7.07,Male,И грянул шторм,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm1424878,Ed Gass-Donnelly,tt2034139,Le Dernier exorcisme Part II (2013) - IMDb,68,161,35,4,13719, 13 March 2013 (France)    See more »,88,2013,8959280.429,5796370.372,17566339.78,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1977,1,0,0,3,6.57,Male,Le Dernier exorcisme Part II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm1012501,Rupert Wyatt,tt2039393,Hazárdjáték (2014) - IMDb,151,175,55,6,50267, 25 December 2014 (USA)    See more »,111,2014,10467231.93,28137720.25,37852235.53,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1972,0,1,0,6,6.8,Male,Hazárdjáték,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001053,Ethan Coen,tt2042568,Inside Llewyn Davis (2013) - IMDb,318,537,92,7.4,100075, 5 December 2013 (Germany)    See more »,104,2013,469982.4617,12752014.82,15318943.23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1957,0,0,1,6,7.5,Male,Inside Llewyn Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001054,Joel Coen,tt2042568,Inside Llewyn Davis (2013) - IMDb,318,537,92,7.4,100075, 5 December 2013 (Germany)    See more »,104,2013,469982.4617,12752014.82,15318943.23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1954,0,0,1,6,7.5,Male,Inside Llewyn Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001752,Steven Soderbergh,tt2053463,Side Effects (2013) - IMDb,275,454,75,7.1,150695, 8 February 2013 (USA)    See more »,106,2013,10784894.81,34778222.23,37275773.89,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1963,0,1,0,8,7.28,Male,Side Effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0821844,Daniel Stamm,tt2059171,13 Sins (2014) - IMDb,66,94,44,6.3,24386, 11 April 2014 (Poland)    See more »,93,2014,10280.39747,4502035.24,10280.39747,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1976,1,0,0,3,6.23,Male,13 Sins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm1242054,James Ponsoldt,tt2063781,Smashed (2012) - IMDb,31,111,71,6.8,13556, 14 December 2012 (UK)    See more »,81,2012,32171.35103,597026.1483,448940.9765,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1978,0,1,0,6,7.07,Male,Smashed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000965,Danny Boyle,tt2080374,Steve Jobs (2015) - IMDb,333,419,82,7.2,103916, 3 December 2015 (Netherlands)    See more »,122,2015,569881.1705,32781810,19396541.31,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1956,1,0,0,8,7.65,Male,Steve Jobs,88,Michael Fassbender,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
