director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,average_runtime_of_movie,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,average_movie_per_year,num_genres_directed
nm0847859,David E. Talbert,5.6,3993.5,2,20,1997,Male,1966,3.0,3.0,51,79,89,44.5,0.0,0.0,53356915.96175595,27196223.110248078,103.5,0,1,0,4,5.75,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2
nm0848414,Lee Tamahori,6.3,60126.0,1,17,1985,Female,1950,0.0,0.0,318,133,42,42.0,0.0,0.0,122969596.6007918,99626053.3239122,104.0,1,0,0,8,6.78,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06,3
nm0850733,Genndy Tartakovsky,6.9,116803.0,2,22,1994,Female,1970,3.0,3.0,277,417,91,45.5,0.0,0.0,354576253.9242996,184830099.34398064,90.0,0,0,1,3,7.9,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,4
nm0851930,Alan Taylor,6.8,311971.0,2,26,1990,Male,1965,2.0,2.0,1416,969,92,46.0,0.0,0.0,329854558.25359404,358119172.4049616,119.0,1,0,0,4,7.52,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.08,4
nm0852363,Finn Taylor,6.8,2354.0,1,6,1997,Male,1958,0.0,0.0,42,39,51,51.0,0.0,0.0,257812.89663044567,2412954.207612676,99.0,0,1,0,4,7.25,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.17,4
nm0853238,Tate Taylor,7.23,125428.67,3,14,2003,Male,1969,2.5,2.5,728,811,181,62.0,0.0,0.0,316098284.66646755,109677233.67068025,132.33,0,1,0,4,6.68,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.21,5
nm0853374,Sam Taylor-Johnson,4.1,225595.0,1,20,1996,Male,1967,0.0,0.0,1371,367,46,46.0,0.0,0.0,177020077.56708342,42617473.6,125.0,1,0,0,6,6.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.05,3
nm0853380,Julie Taymor,6.4,34814.5,2,40,1971,Female,1952,8.0,8.0,309,217,104,52.0,0.0,1.0,41793084.57464342,44271244.05610187,116.5,1,0,0,3,7.33,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.05,5
nm0855035,Andy Tennant,6.37,113273.5,4,21,1988,Male,1955,3.0,3.33,1253,531,198,51.5,0.0,0.0,677767902.4150493,304102070.1444822,114.75,0,1,0,4,6.38,1,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0.19,6
nm0855843,Jessy Terrero,4.4,18538.0,1,3,2002,Male,1975,0.0,0.0,149,73,33,33.0,0.0,0.0,21020271.592211563,24157394.646251597,86.0,1,0,0,2,5.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1
nm0858525,Betty Thomas,5.86,50198.0,5,20,1987,Female,1947,2.0,2.25,703,425,235,46.0,0.0,0.0,515734736.8263277,380069924.245792,96.6,0,1,0,4,5.82,1,0,1,0,1,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.25,9
nm0859432,Rob Thomas,6.8,42467.0,1,9,2006,Male,1965,0.0,0.0,132,181,62,62.0,0.0,0.0,3650169.8969228924,6598463.437488001,107.0,0,0,1,4,7.88,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.11,4
nm0862911,Greg Tiernan,6.5,74446.0,1,33,1984,Male,1965,0.0,0.0,308,237,66,66.0,0.0,0.0,100806536.7972,19611800.0,89.0,1,0,0,4,6.85,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,4
nm0863387,George Tillman Jr.,6.86,52594.6,5,21,1995,Male,1969,4.0,4.5,633,576,261,56.0,0.0,0.0,281986654.8557423,160938743.80229503,118.4,0,1,0,6,7.1,1,0,0,0,2,1,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.24,8
nm0864812,James Toback,5.2,4964.0,3,24,1978,Female,1944,2.0,2.0,259,114,162,49.0,0.0,0.0,13041213.255472595,32246293.01366219,93.67,0,1,0,4,6.22,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.12,6
nm0866132,Michael Tollin,5.9,22969.5,2,32,1972,Male,1955,2.0,2.0,305,123,59,29.5,0.0,0.0,114172462.11864826,111000650.8242876,108.5,0,0,1,4,6.95,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.06,5
nm0868219,Guillermo del Toro,6.67,189515.33,6,31,1985,Male,1964,4.0,3.6,3120,1923,387,65.0,0.0,0.0,517838732.13234246,620971489.2951839,119.0,0,0,1,6,7.33,4,0,2,0,0,0,0,0,1,0,3,0,0,0,5,0,0,1,0,0,0,1,5,0,0,0,2,0,0,0.19,9
nm0868643,Fina Torres,5.3,8670.0,1,16,1985,Female,1951,0.0,0.0,86,72,41,41.0,0.0,0.0,8601122.478842603,13711201.632125622,92.0,0,1,0,4,6.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06,3
nm0870204,Stuart Townsend,6.7,12883.0,1,1,2007,Male,1972,0.0,0.0,54,72,54,54.0,0.0,0.0,306893.69454331556,10983190.954278372,99.0,0,1,0,8,6.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2
nm0872062,Brian Trenchard-Smith,4.1,2275.0,1,30,1972,Male,1946,0.0,0.0,111,18,35,35.0,0.0,0.0,9920518.306164533,36529552.88543447,104.0,1,0,0,4,5.2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.03,5
