director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,budget_cur_AUD,budget_cur_CAD,budget_cur_EUR,budget_cur_GBP,budget_cur_INR,budget_cur_USD,average_runtime_of_movie,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,average_movie_per_year,num_countries_screened,num_genres_directed,num_languages_released
nm0700301,Robert Pulcini,6.05,26616.5,2,15,1996,Male,1964,3.0,3.0,113,231,102,51.0,0.0,0.0,26378249.0,27000000.0,0,0,0,0,0,1,107.0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,6.52,0.13,1,3,2
nm0701245,Tom Putnam,4.7,17107.5,2,18,1995,Male,1972,4.0,4.0,111,99,89,44.5,0.0,0.0,138996.0,9225000.0,0,0,0,0,0,1,88.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,5.4,0.11,1,3,1
nm0701592,Joe Pytka,6.3,114940.0,1,8,1989,Female,1938,0.0,0.0,126,47,59,59.0,0.0,0.0,90443603.0,80000000.0,0,0,0,0,0,1,88.0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6,7.5,0.12,1,7,1
nm0701650,György Pálfi,7.1,8172.0,2,10,1997,Male,1974,4.0,4.0,68,135,160,80.0,0.0,0.0,58358.0,500100000.0,0,0,0,0,0,1,84.5,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6.97,0.2,2,5,1
nm0705058,Steve Race,4.5,1156.0,1,12,2002,Male,1973,0.0,0.0,25,7,23,23.0,0.0,0.0,2380405.0,5000000.0,0,0,0,0,0,1,118.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,5.5,0.08,1,2,1
nm0705535,Michael Radford,7.23,25621.33,3,41,1967,Male,1946,6.5,6.5,355,223,201,63.0,0.0,0.0,26791491.0,41000000.0,0,0,0,0,0,1,115.67,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,4,7.15,0.07,5,6,3
nm0708903,Lynne Ramsay,7.5,52469.0,2,16,1996,Female,1969,12.0,12.0,371,450,144,72.0,0.0,0.0,1955473.0,7030000.0,0,0,0,0,0,1,103.0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,7.23,0.12,2,4,1
nm0710020,Joe Ranft,7.2,270506.0,1,1,2006,Female,1960,0.0,0.0,587,253,73,73.0,0.0,0.0,244052771.0,120000000.0,0,0,0,0,0,1,117.0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,7.65,1.0,1,5,4
nm0710919,Jean-Paul Rappeneau,6.9,4318.0,1,38,1966,Male,1932,0.0,0.0,53,68,68,68.0,0.0,0.0,2353728.0,20000000.0,0,0,0,0,0,1,114.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,8,7.15,0.03,1,6,4
nm0711110,Jim Rash,7.4,118559.0,1,3,2011,Male,1971,0.0,0.0,218,278,68,68.0,0.0,0.0,21501098.0,5000000.0,0,0,0,0,0,1,103.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.35,0.33,1,2,1
nm0711745,Mani Ratnam,7.5,5869.0,1,22,1983,Female,1955,0.0,0.0,40,14,63,63.0,0.0,0.0,280100.0,100000000.0,0,0,0,0,1,0,161.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8.15,0.05,1,4,2
nm0711807,George Ratliff,5.3,3834.0,1,18,1994,Male,1968,0.0,0.0,31,47,35,35.0,0.0,0.0,27445.0,9000000.0,0,0,0,0,0,1,96.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,6.0,0.06,1,4,1
nm0711840,Brett Ratner,6.54,159015.11,9,25,1990,Male,1969,2.0,2.0,4560,1619,456,48.0,0.0,0.0,1089424410.0,844000000.0,0,0,0,0,0,1,103.44,7,0,2,0,0,6,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,1,0,4,6.72,0.36,2,9,7
nm0713527,David Raynr,5.45,4814.5,2,4,1999,Male,1961,2.0,2.0,124,73,60,30.0,0.0,0.0,27919544.0,35000000.0,0,0,0,0,0,1,103.5,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,5.55,0.5,1,5,1
nm0715636,Peyton Reed,6.44,163986.2,5,27,1989,Male,1964,3.0,3.75,1974,1176,259,52.0,0.0,0.0,485206721.0,298000000.0,0,0,0,0,0,1,105.2,1,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,3,6.7,0.19,1,7,2
nm0716257,Matt Reeves,7.27,240727.0,3,21,1994,Male,1966,3.0,3.0,3192,1376,222,79.0,0.0,0.0,300712517.0,215000000.0,0,0,0,0,0,1,110.33,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,6,7.27,0.14,1,7,3
nm0716347,Nicolas Winding Refn,6.64,127084.4,5,21,1996,Male,1970,2.5,5.0,2271,1765,299,61.0,0.0,0.0,37186287.0,36800000.0,0,0,0,0,0,0,101.2,0,0,1,0,0,0,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,8,6.45,0.24,3,6,4
